data;

param E_numb := 16;
param D_numb := 2;
param P_numb := 2;

param: h := 
1   10
2   10
;

# first index stands for edge,
# second one for vertex, aed

# edp

param: delta := 

4,  1, 1    1
11, 1, 1    1
4,  1, 2    1
10, 1, 2    1
12, 1, 2    1
15, 1, 2    1
1,  2, 1    1
4,  2, 1    1
10, 2, 1    1
12, 2, 1    1
2,  2, 2    1
6,  2, 2    1
9,  2, 2    1
12, 2, 2    1
;

param KSI :=
1   30
2   90
3   10
4   40
5   35
6   30
7   10
8   10
9   15
10  10
11  30
12  25
13  45
14  50
15  35
16  90
;

end;
